,name,restaurant,city,price,rating,deliveryTime
181,World of Pizza & Burger,world-of-pizza-&-burger-magarpatta-magarpatta,pune,350,Too Few Ratings,50
182,Pizzaria.com,pizzaria.com-magarpatta-magarpatta,pune,300,Too Few Ratings,46
183,Ghar Ka Khana,ghar-ka-khana-magarpatta,pune,400,Too Few Ratings,48
184,Fun Spice,fun-spice-seasons-mall-magarpatta,pune,700,20+ ratings,54
185,KALLYFSO CAFE,kallyfso-cafe-kharadi-kharadi,pune,300,100+ ratings,44
186,Magnora,magnora-magarpatta-magarpatta,pune,350,Too Few Ratings,50
187,Food Eat's,food-eats-hadapsar,pune,400,Too Few Ratings,49
188,Desi Punjab,desi-punjab-kharadi-kharadi,pune,300,Too Few Ratings,44
189,SagarG,sagarg-hadapsar-hadapsar,pune,400,Too Few Ratings,46
190,Meals101,meals101-magarpatta-magarpatta,pune,350,20+ ratings,51
191,Doodle Chinese Chang,doodle-chinese-chang-kharadi-kharadi,pune,350,Too Few Ratings,44
192,Sandwich junction,sandwich-junction-viman-nagar-viman-nagar,pune,250,20+ ratings,44
193,Masala Kitchen,masala-kitchen-kharadi-pune-vam,pune,300,20+ ratings,41
194,Biryani Blast,biryani-blast-kharadi-kharadi,pune,350,Too Few Ratings,45
195,Raju Sandwich,raju-sandwich-viman-nagar-viman-nagar,pune,300,50+ ratings,42
196,Almighty Jah,almighty-jah-kharadi-kharadi,pune,200,100+ ratings,40
197,Fantastic Belgian Waffle,chinese-chef-co-pimple-nilakh-pimple-nilakh,pune,250,20+ ratings,44
198,Roll Project,roll-project-viman-nagar-viman-nagar-2,pune,200,20+ ratings,39
199,King Sandwich and Juice,king-sandwich-and-juice-viman-nagar-viman-nagar,pune,300,50+ ratings,42
200,The Burger Project,mad-burgers-viman-nagar-viman-nagar,pune,350,50+ ratings,39
201,mid night express,mid-night-express-viman-nagar-viman-nagar,pune,200,Too Few Ratings,47
202,THE CHEF STORY,the-chef-story-viman-nagar-viman-nagar,pune,450,50+ ratings,43
203,BOSS Burger,boss-burger-bb-viman-nagar-social-viman-nagar,pune,500,50+ ratings,50
204,Mad Over Chicken,mad-over-chicken-viman-nagar-viman-nagar,pune,150,50+ ratings,53
205,Five Fingers,five-fingers-viman-nagar-viman-nagar,pune,450,Too Few Ratings,48
206,Sandwich Expert,sandwich-expert-viman-nagar-viman-nagar,pune,200,Too Few Ratings,53
207,Il Fungo Magico,il-fungo-magico-koregaon-park-koregaon-park,pune,500,Too Few Ratings,44
208,Great Punjab,great-punjab-kharadi-kharadi,pune,300,Too Few Ratings,50
209,Sher E Punjab,sher-e-punjab-kharadi-kharadi,pune,400,20+ ratings,41
210,Dolma Aunty Momos,veg-momo-factory-viman-nagar-viman-nagar-2,pune,150,20+ ratings,42
211,Shanghai Chef Chinese,kakke-di-pavbhaji-viman-nagar-viman-nagar,pune,150,20+ ratings,40
212,Burger King Factory,burger-king-factory-viman-nagar-viman-nagar,pune,300,20+ ratings,46
213,Cheesy Pizza House,cheesy-pizza-house-swargate-swargate,pune,489,20+ ratings,45
214,Mekong Folks,mekong-folks-viman-nagar-viman-nagar,pune,650,100+ ratings,46
215,The Cheese Truck,the-cheese-truck-viman-nagar-viman-nagar-2,pune,180,100+ ratings,42
216,Lespresso,lespresso-viman-nagar-viman-nagar,pune,200,Too Few Ratings,39
217,Brewin Bistro,brewin-bistro-viman-nagar-viman-nagar,pune,300,Too Few Ratings,42
218,Backstage,backstage-viman-nagar-viman-nagar-2,pune,400,Too Few Ratings,45
219,Chai Khari,irani-chai-co-viman-nagar-viman-nagar,pune,200,50+ ratings,43
220,Pizza Hut.Com,pizza-hut.com-viman-nagar-viman-nagar,pune,250,Too Few Ratings,48
221,BHARATS KULFI LAB,bharats-kulfi-lab-kharadi-kharadi,pune,250,Too Few Ratings,44
222,Kings Of Pizza & Burger,kings-of-pizza-&-burger-viman-nagar-viman-nagar,pune,300,Too Few Ratings,41
223,Social,social-viman-nagar-viman-nagar-viman-nagar,pune,500,100+ ratings,52
224,Rollhunt,rollhunt-kharadi-kharadi,pune,200,20+ ratings,45
225,Senorita Margarita,senorita-margarita-kharadi-kharadi,pune,250,Too Few Ratings,44
226,Pop Star Pizza,pop-star-pizza-kharadi-kharadi,pune,200,Too Few Ratings,44
227,Happy Cow,happy-cow-kharadi-kharadi,pune,200,Too Few Ratings,44
228,Shake it Chicaho,shake-it-chicaho-kharadi-kharadi,pune,250,Too Few Ratings,44
229,Pind Da Swad,pind-da-swad-magarpatta-magarpatta,pune,300,50+ ratings,51
230,SUPERMAN MOMOS,momos-bowl-company-magarpatta-magarpatta,pune,150,20+ ratings,53
231,Momos express with kabab,momos-express-with-kabab-viman-nagar-viman-nagar,pune,150,Too Few Ratings,52
232,China Xpress,china-xpress-magarpatta-magarpatta,pune,300,100+ ratings,52
233,Rolls Mario,rolls-mario-kharadi-kharadi,pune,200,Too Few Ratings,41
234,Kebabi,kebabi-kharadi-kharadi,pune,200,20+ ratings,48
235,ShakeZone,shakes-+-baner-baner-2,pune,200,Too Few Ratings,45
236,How's The Bowl,how's-the-bowl-magarpatta-magarpatta,pune,200,20+ ratings,50
237,Burger 9,burger-9-kharadi-kharadi,pune,200,Too Few Ratings,46
238,Chinese Culture,the-chinese-culture-magarpatta-magarpatta,pune,200,100+ ratings,51
239,Rasoi King,king-rolls-hadapsar-hadapsar,pune,300,Too Few Ratings,48
240,Punjabi Chillies,punjabi-chillies-magarpatta-magarpatta,pune,300,Too Few Ratings,55
241,The Burger Project,mad-burgers-magarpatta-magarpatta,pune,350,20+ ratings,52
242,The Chinese hub,the-chinese-hub-kharadi-kharadi,pune,250,50+ ratings,47
243,Reddy's Restaurant,reddy's-restaurant-magarpatta-magarpatta,pune,300,20+ ratings,51
244,ONESTA,onesta-kharadi-kharadi,pune,200,50+ ratings,46
245,KHICHDI AROMA,khichdi-aroma-kharadi-kharadi,pune,300,50+ ratings,45
246,OYE KAKKE BY SPICE FACTORY,oye-kakke-by-spice-factory-kharadi-kharadi,pune,250,20+ ratings,45
247,Krishna Veg Chinese,krishna-veg-chinese-magarpatta-magarpatta,pune,300,Too Few Ratings,50
248,Burger House,burger-house-kharadi-kharadi,pune,300,20+ ratings,48
249,"Hotel Swad veg nonveg, Family restaurant. Speciall","hotel-swad-veg-nonveg,-family-restaurant.-speciall-kharadi-kharadi",pune,450,Too Few Ratings,48
250,Ulfat-E-Biryani,ulfat-e-biryani-kharadi-kharadi,pune,500,Too Few Ratings,52
251,Hindusthani Khana,hindusthani-khana-kharadi-kharadi,pune,200,Too Few Ratings,47
252,The Wrap Co.,the-wrap-co-kharadi-kharadi,pune,350,50+ ratings,49
253,Quality Biryani House,quality-biryani-house-kharadi-kharadi,pune,300,Too Few Ratings,47
254,Smoodies & Juices: Yours Fruitfully,smoodies-kharadi-kharadi,pune,140,Too Few Ratings,43
255,Platinum Wok,platinum-wok-kharadi-kharadi,pune,300,Too Few Ratings,47
256,Indian Tadka - Taste Punjab Da,indian-tadka-taste-punjab-da-magarpatta-petrol-pump-magarpatta,pune,300,100+ ratings,48
257,ALOHA THE TIKI BAR,y.-m.-foods-and-beverages-aloha-the-tiki-bar-magarpatta-magarpatta,pune,1200,Too Few Ratings,51
258,Chinese Restaurant,chinese-restaurant-magarpatta-magarpatta,pune,300,Too Few Ratings,51
259,Chulbul Dhaba,chulbul-dhaba-kharadi-viman-nagar,pune,200,100+ ratings,46
260,Punjabi Darbar Rasoi King,sane-punjab-hadapsar-hadapsar,pune,350,20+ ratings,51
261,Punjabi Darbar,punjabi-darbar-hadapsar-hadapsar-2,pune,200,20+ ratings,52
262,Vrindavan Pure Veg,vrindavan-pure-veg-kharadi-kharadi,pune,200,50+ ratings,45
263,Tall Wall Chow Mien,tall-wall-chow-mien-hadapsar-hadapsar,pune,300,Too Few Ratings,52
264,The Hot Chinese,the-hot-chinese-hadapsar-hadapsar,pune,300,Too Few Ratings,49
265,THE HEALTH EQUATION,the-health-equation-kharadi-kharadi-2,pune,300,Too Few Ratings,47
266,BMG Unplugged,bmg-unplugged-magarpatta-magarpatta,pune,1000,Too Few Ratings,58
267,RAYALASEEMA REDDY'S RESTAURANT,rayalaseema-reddy's-restaurant-kharadi-kharadi,pune,280,100+ ratings,45
268,Breakfast Xpress,breakfast-xpress-hadapsar-hadapsar,pune,100,Too Few Ratings,52
269,amritsari spices,amritsari-spices-kharadi-kharadi,pune,300,20+ ratings,46
270,Chao Mung China,chao-mung-china-kharadi-kharadi,pune,200,50+ ratings,48
271,Chicken Hyderabadi,chiken-hyderabadi-kharadi-kharadi,pune,600,Too Few Ratings,49
272,Tandoori palace,tandoori-palace-kharadi-kharadi,pune,300,50+ ratings,50
273,SUKOON VILLAGE,sukoon-village-magarpatta-magarpatta,pune,1500,Too Few Ratings,51
274,La Pino'z Pizza,la-pino-z-pizza-kharadi-kharadi,pune,400,500+ ratings,47
275,The Tasty Tiffin,the-tasty-tiffin-kharadi-kharadi,pune,200,20+ ratings,44
276,R K Restaurant,hotel-arab-zaika-viman-nagar-viman-nagar,pune,200,50+ ratings,47
277,BIG BONG BIRYANI,big-bong-biryani-sangvi-sangvi,pune,800,20+ ratings,53
278,Chow Mein & Co.,chow-mein-&-co.-kharadi-kharadi,pune,200,Too Few Ratings,59
279,Royal Pune,royal-pune-lohgaon-lohgaon,pune,300,Too Few Ratings,48
280,Hyderabadi Royal Biryani,hyderabadi-royal-biryani-kharadi-kharadi-3,pune,300,50+ ratings,45
281,Zam Zam Restaurant,hotel-malabar-swargate,pune,400,Too Few Ratings,48
282,Hotel Lazeez,hotel-al-zaika-viman-nagar-viman-nagar-2,pune,400,20+ ratings,46
283,The Waffle Jar,siddheshwar-enterprises-kharadi-kharadi-2,pune,300,Too Few Ratings,45
284,Pilaf Biryani,pilaf-biryani-kharadi-kharadi,pune,200,Too Few Ratings,47
285,Shakezone,siddheshwar-enterprises-kharadi-kharadi,pune,250,Too Few Ratings,49
286,Chaska Cafe,chaska-cafe-kharadi-kharadi,pune,350,Too Few Ratings,46
287,RK Restaurant,rk-restaurant-lohgaon-lohgaon,pune,300,Too Few Ratings,45
288,Hot Pan,hot-pan-viman-nagar-viman-nagar,pune,249,Too Few Ratings,44
